"Pressure (Pa)","X (m)","Y (m)","Z (m)"
-1487.67642408431,0.215118919206917,-0.00771906763797952,-0.76411200666379
-1363.76290312359,0.25161863518324,-0.00512698892887517,-0.764195652685265
-1491.11117111709,0.24693640686387,-0.00566940048664369,-0.764012776652846
-1350.20183092417,0.198756558971265,-0.00747781819570179,-0.807727831628684
-1382.10348228788,0.201967154357159,-0.00758081841622149,-0.800793443255188
-1485.23985987042,0.209023092128996,-0.00679444463609873,-0.89048184413158
-1388.33436344516,0.199987622695866,-0.00682182075959902,-0.869791091147937
-1366.09692376679,0.198286374030283,-0.00695209126603322,-0.85487123912475
-1222.62010204277,0.255462066529025,-0.00464639809351027,-0.763548634383583
-1604.77828499648,0.240687150571641,-0.00630211610797313,-0.763876870956081
-1583.89116197993,0.22327014428097,-0.00744649046495903,-0.764754074804634
-1639.58607593195,0.232517319493766,-0.00694260283888431,-0.766027216434163
-1554.79880392588,0.21959105174041,-0.00756008528682478,-0.771123340505024
-1474.32370185018,0.212955264812695,-0.00769604328917858,-0.775212655610444
-1276.13340049364,0.254481757114285,-0.00478373568366989,-0.768202235573949
-1560.03891614639,0.244671315433358,-0.00592439856816239,-0.769644699520262
-1436.74966575779,0.249597306645967,-0.00537945899929639,-0.76879726492909
-1557.76521518323,0.215026447760923,-0.00680216430747725,-0.89577476003847
-1621.9253150863,0.22106042389949,-0.00673902312703739,-0.901763703705114
-1406.96545517769,0.203509575540951,-0.00745832576383352,-0.815081687677671
-1441.78279541858,0.206855876839017,-0.00753362482454133,-0.807171570746593
-1460.10088732668,0.208804876420121,-0.0075900209484471,-0.79973025077518
-1401.6615990118,0.201392410587162,-0.0069529806375157,-0.861752946297058
-1443.25753852048,0.205756125813939,-0.00698640295052441,-0.866693066913523
-1477.57838923578,0.208227974290526,-0.00686157354464191,-0.882386397579229
-1556.11493897275,0.214992086569915,-0.00687482144806758,-0.887018333771879
-1464.56960803566,0.207126995334635,-0.00693136935725821,-0.873947098944011
-1381.96136329944,0.200109772836898,-0.00708935394896208,-0.846753580327094
-1454.33925230827,0.207399667029292,-0.00740800045786969,-0.822897609770958
-1427.14798744374,0.204323733825763,-0.00707372682539997,-0.855730333464169
-1426.63332439824,0.204382033605324,-0.0071313356683308,-0.850211105439839
-1498.57582313188,0.213039680832465,-0.0075810773171808,-0.793568109105487
-1118.98024749512,0.258277532976746,-0.00429454130538619,-0.765924400225742
-1080.31282519769,0.258916688387126,-0.00420009755140735,-0.761988125672675
-1117.61964072791,0.258776591656185,-0.00424231167758339,-0.769588509058371
-1122.84412908481,0.258711453674839,-0.00426064207692231,-0.77266815114397
-1546.41601730851,0.21860812431168,-0.00749975483489513,-0.786419172454479
-1643.91261287343,0.239090374896227,-0.00645511447650469,-0.770915534424257
-1661.22939696788,0.233613358730934,-0.00687565820165288,-0.772570853813278
-1616.41117316799,0.226834147164331,-0.00726030965169573,-0.771837396325458
-1581.65646239171,0.221888849025299,-0.00744361124166386,-0.778318110054431
-2236.96969103825,0.28784236684268,0.00471800562249378,-0.804541127264028
-2239.56930325964,0.287808328227691,0.0047566775947353,-0.802324822006357
-2252.97770800331,0.286104888315257,0.00299599393942697,-0.812135596082339
-1237.31445972133,0.255796118812817,-0.00463147494957207,-0.772329568547104
-1379.3883157729,0.251952116529274,-0.00511114120817382,-0.772841421985497
-1616.21270209276,0.242722238444924,-0.00612790781218183,-0.776141800563589
-1502.68173686365,0.247677671593394,-0.00561056688547092,-0.774246236557132
-1624.90917049374,0.221498487002894,-0.00680027189051124,-0.892656371615266
-2245.13026279423,0.28700462234235,0.00387401689057757,-0.80880465766429
-2250.79072590899,0.28654439319451,0.00342371576682406,-0.810576809436538
-1687.51277589163,0.22717303511003,-0.00661736974980824,-0.907924083202747
-1695.34614847062,0.227960179067185,-0.0066562475195544,-0.8988697990195
-1753.58702324795,0.23267047951961,-0.00645583101745468,-0.914574298195145
-1494.58901771737,0.211590086369797,-0.00745456016784049,-0.81411498170675
-1527.58160318077,0.215798696094409,-0.00746344454425798,-0.803827107343413
-1631.37238655209,0.222250962333695,-0.00684718214514082,-0.883932193914257
-1471.17051303501,0.208672569240175,-0.00707707133339259,-0.86031471909523
-1522.81563449095,0.212246746930951,-0.00703389230309642,-0.86783564359863
-1557.2233562535,0.215253035824639,-0.00694804117222991,-0.877355442348293
-1528.39888529278,0.214875408920159,-0.00736612813311487,-0.822413494860363
-1458.58674376588,0.207525625067986,-0.00723344889661695,-0.842512885544329
-1491.26664844911,0.210591162456545,-0.00732594462791672,-0.832141737823085
-1500.85442671201,0.211320505362113,-0.00716746663415847,-0.851240145707939
-2254.66503666162,0.286396865975042,0.00350187964809958,-0.804002675539655
-2257.04793873878,0.286149588813922,0.003357138778997,-0.801809006700279
-2255.64210397585,0.28676641822841,0.00373464222238437,-0.806624062636696
-2263.54928180486,0.285321500613893,0.00235948294036942,-0.810716026583764
-2258.17211627829,0.285750501024848,0.00278984559389832,-0.80890665566135
-2269.18664342937,0.285134574353382,0.00214384925599635,-0.8123622024021
-2255.65395391196,0.286219925741204,0.00304090782245011,-0.813810612420596
-2247.848253065,0.286742439714986,0.00343526910027913,-0.815589514238928
-2244.48836676367,0.287077932998018,0.0036706196830976,-0.81729911714758
-1779.82864746948,0.235456648007423,-0.00644003790040025,-0.896222536224864
-1589.44628853274,0.221868023531944,-0.00736011322707947,-0.795734759929577
-995.109823116076,0.26132300546271,-0.00390875083881864,-0.7674960507607
-983.103226479439,0.261304684836853,-0.00390240243440097,-0.764791337072834
-876.754134501143,0.263930993476224,-0.00356823662363156,-0.766591855342791
-953.750722114934,0.262047774696252,-0.00379862991836162,-0.762299665234546
-971.914400435589,0.261916912491699,-0.00384016288485832,-0.769870200675716
-1016.66308773162,0.261224702405828,-0.00393643914830857,-0.772102823559015
-1063.52783361186,0.260326656235201,-0.00406058489131454,-0.774846200689303
-1185.0398174051,0.257358293576634,-0.00444277310667432,-0.775510521739524
-1655.66162156439,0.242207259925823,-0.00618358280829226,-0.79010443502236
-1691.05317469885,0.235579400472029,-0.00671049424931476,-0.790142569313949
-1645.5858303922,0.227823081395003,-0.00715258561769697,-0.789914994301896
-1628.46470372227,0.226181102431676,-0.00725510192642215,-0.783955696158302
-1660.45191167788,0.240483720328345,-0.00633137685460258,-0.783535835757995
-1676.64960204061,0.233040678095608,-0.00688820967044564,-0.784097319036235
-1671.93283208738,0.236831653736749,-0.00663788990817189,-0.777571266370255
-1647.39365893878,0.229921516529199,-0.00708474580691483,-0.778193021721166
-2238.47599917397,0.288038591176296,0.00471101982341849,-0.810153566232491
-2234.04582130259,0.288544408311058,0.00520323034101048,-0.807960652366567
-2231.7700985394,0.288803143111915,0.00548285915968676,-0.805970120010556
-2233.50595548009,0.289482991398628,0.00611556598879394,-0.803854218880325
-2240.92857615153,0.287356999812199,0.00406733117171835,-0.812248074236071
-2233.84945282192,0.288026557831898,0.00458184665146307,-0.813975256469491
-1877.04769295297,0.244117226672261,-0.00592028860621702,-0.927419125531078
-1889.86309912557,0.250562767184116,-0.00548342974217111,-0.929775986883944
-2254.15966176542,0.286113291033872,0.00272807117326637,-0.820812524424087
-2257.71632448999,0.285718572165013,0.00242608315562389,-0.819524087679463
-2253.55489958159,0.286019445352414,0.00272526808244032,-0.818345718317879
-631.939306521645,0.273360606202047,0.00683930983897264,-0.811330070803107
-736.109975084814,0.273264711727719,0.00660471235204878,-0.810389700799595
-2116.9749581964,0.274885086930816,0.00596604148596155,-0.811045680342534
-1319.99051498063,0.253985417599548,-0.00487222489361016,-0.776380372010913
-1435.22368398307,0.250478040107814,-0.00529949791666471,-0.777255733270877
-1536.99588321068,0.247042957055791,-0.00568783922481338,-0.780682284869059
-1586.35696577971,0.245641020025803,-0.00584828810913094,-0.785870086170145
-1540.62827371127,0.247922222835641,-0.00561202287569417,-0.790215683886256
-2230.95318420821,0.288492339535748,0.00491805828861538,-0.81583241930162
-2253.01264450918,0.286234425236287,0.00277448843345727,-0.822683086861574
-2245.37358546441,0.286764071165278,0.00317117878951125,-0.824654744549065
-2240.87919211677,0.287437273341631,0.00391037402038216,-0.819393634823912
-2228.0486888314,0.288610049079474,0.00496238785764793,-0.817643683329358
-2232.47375303047,0.287747806091262,0.0040643762703779,-0.823066042534789
-2233.88403314242,0.287356926187009,0.0037838985321838,-0.821363843014009
-1717.75098255494,0.23079240411136,-0.00666170842812265,-0.881887750353291
-1698.82984342245,0.228681858748103,-0.00668896397395265,-0.889880873969254
-1784.42244327634,0.235875025476162,-0.00645754279191922,-0.887739348397223
-2231.2230097977,0.28914392913676,0.00558539777162666,-0.811935303092523
-1833.29823546151,0.240193275372072,-0.00623740208577684,-0.892241270833767
-1835.93962492719,0.242428807835788,-0.00611342638321261,-0.88699163589575
-1827.4406820407,0.238770514926791,-0.00620915071354756,-0.92063922849219
-1830.35473811808,0.238529052389001,-0.00625506537573757,-0.913310282701951
-1781.30162164295,0.234851126612771,-0.00642213564142381,-0.905991567926824
-1847.72333798462,0.241977672334538,-0.0061226863181168,-0.897000663103931
-1884.06858641905,0.245188030799386,-0.00587772241244386,-0.921196207959198
-1591.56064832016,0.221725790586405,-0.00727097377476415,-0.813260402612906
